Placa;Renavam;Status;Nome Empresa;Nome Consórcio;Número Célula;Número Ordem;Cor;Tipo Veículo;Tipo Cadastro;Padrão Veículo;Tipo Pneu;Padrão Serviço;Número Chassi;Ano Chassi;Modelo Chassi;Modelo Carroceria;Ano Carroceria;Potência Motor;Localização Motor;Tipo Câmbio;Tipo Suspensão;Largura Porta Dianteira Esquerda;Largura Porta Dianteira Direita;Largura Porta Central Esquerda;Largura Porta Central Direita;Largura Porta Traseira Esquerda;Largura Porta Traseira Direita;Quantidade Assentos;Peso Veiculo;Capacidade Tanque1;Capacidade Tanque2;Largura Antes Roleta;Largura Apos Roleta;Comprimento Antes Roleta;Comprimento Apos Roleta;Largura Area Deficientes;Comprimento Area Deficientes;Quantidade Portas Esquerda;Quantidade Portas Direita;Quantidade de Elevador;Quantidade de Wifi;Quantidade de Ar condicionado;Quantidade de TV;Quantidade de GPS;Quantidade de Câmera;Quantidade de Validadores;Quantidade de Roleta eletronica;Quantidade de Suporte de bicicleta
HGJ1F84;00223753530;Baixado;RIT: 4 - Célula: 2 - TURILESSA LTDA;ESTRADA REAL;2;25303;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078AB710515;2010;Mbb of1722m;Induscar apache u;2010;218;Dianteiro;Manual;Molas;0;110;0;0;0;110;42;17000;300;0;60;65;100;822;80;120;0;2;1;0;0;0;0;3;0;1;0
LUF0080;00817246487;Baixado;RIT: 2 - Célula: 4 - VIAÇÃO BELO MONTE TRANSPORTES COLETIVOS SA;UNIMINAS;4;07424;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM3840733B350218;2003;Mbb of1721 euro v;Marcopolo torino u;2003;211;Dianteiro;Manual;Molas;;70;;0;;70;42;17000;300;;65;65;120;730;80;90;0;2;0;0;0;0;0;0;0;1;0
QUZ8399;01209229126;Aprovado;RIT: 2 - Célula: 6 - URCA AUTO ÔNIBUS LTDA;UNIMINAS;6;34059;Vermelho;Pesado;Metropolitano;Medio;;Comercial;9BM384078LB152215;2019;Mbb of1721 euro v;Induscar apache u;2020;208;Dianteiro;Manual;Molas;0;110;0;110;0;111;42;17000;300;0;60;65;80;822;80;120;0;3;1;0;0;0;0;4;1;1;0
HGJ1589;00223757047;Baixado;RIT: 5 - Célula: 6 - TURILESSA LTDA;LINHA VERDE;6;25304;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078AB710531;2010;Mbb of1722m;Induscar apache u;2010;218;Dianteiro;Manual;Molas;;95;;0;;110;42;17000;300;;60;60;145;700;80;125;0;2;1;0;0;0;0;0;0;1;0
QUZ8423;01209229800;Aprovado;RIT: 2 - Célula: 6 - URCA AUTO ÔNIBUS LTDA;UNIMINAS;6;34060;Vermelho;Pesado;Metropolitano;Medio;;Comercial;9BM384078LB152228;2019;Mbb of1721 euro v;Induscar apache u;2020;208;Dianteiro;Manual;Molas;0;110;0;110;0;111;42;17000;310;0;80;65;100;822;80;120;0;3;1;0;0;0;0;4;1;1;0
GZG8710;00806640006;Baixado;RIT: 2 - Célula: 4 - VIAÇÃO BELO MONTE TRANSPORTES COLETIVOS SA;UNIMINAS;4;07425;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BWRF82W23R307777;2003;Volkswagen 17.210eod;Marcopolo torino u;2003;206;Dianteiro;Manual;Molas;;64;;0;;90;41;17000;300;;80;59;70;840;80;94;0;2;0;0;0;0;0;0;0;1;0
HGJ1347;00161972446;Aprovado;RIT: 6 - Célula: 1 - SARITUR - SANTA RITA TRANSPORTE URBANO E RODOVIÁRIO LTDA.;ESMERALDAS NEVES;1;90386;Vermelho;Pesado;Metropolitano;Padron;;Convencional;9BM3840789B665028;2009;Mbb of1722m;Induscar apache u;2009;218;Dianteiro;Manual;Molas;0;110;0;110;0;110;38;17000;300;0;60;65;100;822;80;120;0;3;1;0;0;0;0;3;1;1;0
HBZ6761;00271539305;Baixado;RIT: 7 - Célula: 5 - VIAÇÃO SANTA EDWIGES LTDA;CIDADE INDUSTRIAL;5;69161;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078AB743358;2010;Mbb of1722m;Comil svelto u;2010;218;Dianteiro;Manual;Molas;0;100;0;100;0;100;39;17000;250;0;60;65;100;822;80;120;0;3;1;0;0;0;0;3;1;1;0
HGJ1604;00229392474;Aprovado;RIT: 5 - Célula: 6 - TURILESSA LTDA;LINHA VERDE;6;25305;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078AB711291;2010;Mbb of1722m;Induscar apache u;2010;218;Dianteiro;Manual;Molas;;95;;0;;110;42;17000;300;;60;60;145;700;80;125;0;2;1;0;0;0;0;4;1;1;0
GVJ2757;00853771057;Baixado;RIT: 5 - Célula: 6 - TURILESSA LTDA;LINHA VERDE;6;25359;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM3840785B423674;2005;Mbb of1722m;Busscar urbanus;2005;218;Dianteiro;Manual;Molas;;70;;0;;110;42;17000;300;;65;65;100;700;90;100;0;2;0;0;0;0;0;0;0;1;0
HBZ6760;00271541237;Baixado;RIT: 7 - Célula: 5 - VIAÇÃO SANTA EDWIGES LTDA;CIDADE INDUSTRIAL;5;69162;Vermelho;Pesado;Metropolitano;Padron;;Comercial;9BM384078AB743380;2010;Mbb of1722m;Comil svelto u;2010;218;Dianteiro;Manual;Molas;0;100;0;100;0;100;39;17000;250;0;60;65;100;822;80;120;0;3;1;0;0;0;0;3;1;1;0
